Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species_Id
1,5.1,3.5,1.4,0.2,A
2,4.9,3,1.4,0.2,A
3,4.7,3.2,1.3,0.2,A
4,4.6,3.1,1.5,0.2,A
5,5,3.6,1.4,0.2,A
6,5.4,3.9,1.7,0.4,A
7,4.6,3.4,1.4,0.3,A
8,5,3.4,1.5,0.2,A
9,4.4,2.9,1.4,0.2,A
10,4.9,3.1,1.5,0.1,A
11,5.4,3.7,1.5,0.2,A
12,4.8,3.4,1.6,0.2,A
13,4.8,3,1.4,0.1,A
14,4.3,3,1.1,0.1,A
15,5.8,4,1.2,0.2,A
16,5.7,4.4,1.5,0.4,A
17,5.4,3.9,1.3,0.4,A
18,5.1,3.5,1.4,0.3,A
19,5.7,3.8,1.7,0.3,A
20,5.1,3.8,1.5,0.3,A
21,5.4,3.4,1.7,0.2,A
22,5.1,3.7,1.5,0.4,A
23,4.6,3.6,1,0.2,A
24,5.1,3.3,1.7,0.5,A
25,4.8,3.4,1.9,0.2,A
26,5,3,1.6,0.2,A
27,5,3.4,1.6,0.4,A
28,5.2,3.5,1.5,0.2,A
29,5.2,3.4,1.4,0.2,A
30,4.7,3.2,1.6,0.2,A
31,4.8,3.1,1.6,0.2,A
32,5.4,3.4,1.5,0.4,A
33,5.2,4.1,1.5,0.1,A
34,5.5,4.2,1.4,0.2,A
35,4.9,3.1,1.5,0.1,A
36,5,3.2,1.2,0.2,A
37,5.5,3.5,1.3,0.2,A
38,4.9,3.1,1.5,0.1,A
39,4.4,3,1.3,0.2,A
40,5.1,3.4,1.5,0.2,A
41,5,3.5,1.3,0.3,A
42,4.5,2.3,1.3,0.3,A
43,4.4,3.2,1.3,0.2,A
44,5,3.5,1.6,0.6,A
45,5.1,3.8,1.9,0.4,A
46,4.8,3,1.4,0.3,A
47,5.1,3.8,1.6,0.2,A
48,4.6,3.2,1.4,0.2,A
49,5.3,3.7,1.5,0.2,A
50,5,3.3,1.4,0.2,A
51,7,3.2,4.7,1.4,B
